case_type,count,percentage
Equal Employment,1579,34.79
Immigration and/or the Border ,523,11.52
Prison Conditions,424,9.34
Jail Conditions,303,6.68
Public Benefits / Government Services,288,6.35
Policing,201,4.43
Criminal Justice (Other),184,4.05
Speech and Religious Freedom,173,3.81
National Security,137,3.02
Fair Housing/Lending/Insurance,129,2.84
Disability Rights-Pub. Accom.,118,2.6
Education,98,2.16
Juvenile Institution,76,1.67
Election/Voting Rights,71,1.56
Presidential/Gubernatorial Authority,48,1.06
Intellectual Disability (Facility),43,0.95
Child Welfare,42,0.93
Mental Health (Facility),35,0.77
Public Accomm./Contracting,15,0.33
School Desegregation,14,0.31
Nursing Home Conditions,11,0.24
Public Housing,11,0.24
Indigent Defense,10,0.22
Environmental Justice,6,0.13
