split,case_id,case_name,case_type,class_action_sought,num_source_docs,raw_word_count,summary_clean_word_count,modeling_clean_word_count
train,EE-AL-0045,"EEOC v. House of Philadelphia Center, Inc.",Equal Employment,No,4,4897,4793,4800
train,PB-NJ-0003,Disability Rights New Jersey v. Velez,Public Benefits / Government Services,No,4,23805,22913,22924
train,EE-FL-0136,United States v. Palm Beach County,Equal Employment,No,3,6522,6381,6376
train,EE-CA-0305,Wynne v. McCormick & Schmick's Seafood Restaraunts Inc.,Equal Employment,Yes,13,58302,57072,57063
train,NH-NJ-0002,"U.S. v. Mercer County, New Jersey",Nursing Home Conditions,No,6,15612,15166,15143
train,NS-CA-0021,Freedom of the Press Foundation v. U.S. Department of Justice,National Security,No,3,13607,13497,13499
train,FH-DE-0001,United States v. AIG Federal Savings Bank,Fair Housing/Lending/Insurance,No,4,8391,8089,8098
train,PB-WV-0002,McGee v. Cole,Public Benefits / Government Services,No,6,41651,41331,41345
train,PN-MI-0008,Weber v. City of Grand Rapids,Policing,No,5,44043,43377,43377
train,EE-MI-0184,Owen v. L'anse Area Schools,Equal Employment,No,5,18257,18234,18159
train,EE-IL-0010,EEOC v. AMERICAN BOTTLING CO,Equal Employment,No,3,6655,6655,6657
train,EE-PA-0021,EEOC v. Allstate Insurance Co,Equal Employment,Yes,29,594541,591821,591844
train,PC-MI-0036,McBride v. Michigan Department of Corrections,Prison Conditions,Yes,14,72034,71506,71492
train,EE-AZ-0061,"EEOC v. TIN, Inc. d/b/a Inland Paperboard and Packaging, Inc",Equal Employment,No,5,20995,20825,20825
train,JC-CA-0098,Wooden v. County of Shasta,Jail Conditions,Yes,6,27574,27574,27605
train,PC-NY-0066,Medina v. Fischer,Prison Conditions,Yes,12,59774,57838,57861
train,EE-WA-0117,Nouri v. Boeing Co.,Equal Employment,Yes,13,64177,63853,63813
train,DR-PA-0004,Voices for Independence v. Pennsylvania Department of Transportation,Disability Rights-Pub. Accom.,Yes,15,72129,69483,69591
train,EE-FL-0071,EEOC v. KANON SERVICE CORPORATION,Equal Employment,No,4,5874,5728,5741
train,JC-WA-0014,Bango v. Pierce County,Jail Conditions,Yes,6,36242,35292,35299
train,EE-SC-0011,"EEOC v. Dennis' Foods, Inc.",Equal Employment,No,3,3386,3386,3388
train,NS-UT-0001,Valdez v. National Security Agency,National Security,Yes,6,35928,35058,35069
train,NS-DC-0002,Al-Aulaqi v. Panetta,National Security,No,6,31902,31716,31716
train,EE-IL-0056,EEOC v. CONSOLIDATED FREIGHTWAYS,Equal Employment,No,3,3559,3559,3560
train,IM-WA-0016,Ruiz-Diaz v. United States,Immigration and/or the Border ,Yes,21,47608,47170,47184
train,JC-WA-0002,Orndorff v. Jefferson County,Jail Conditions,Yes,5,16867,16823,16823
train,EE-TX-0048,EEOC v. BLUEGREEN CORPORATION,Equal Employment,No,7,8955,8955,8957
train,JC-CA-0118,Parenti v. County of Monterey,Jail Conditions,No,8,41212,40722,40724
train,PR-ME-0001,"Bayley's Campground, Inc v. Mills",Presidential/Gubernatorial Authority,No,7,27031,26201,26197
train,IM-AL-0009,"Linda Smith v. Reese McKinney, Jr.",Immigration and/or the Border ,Yes,3,9729,9329,9335
train,CJ-CA-0021,Sigma-Beta-XI v. Riverside,Criminal Justice (Other),Yes,5,69555,68005,67996
train,PC-NY-0053,Hilton v. Wright,Prison Conditions,Yes,15,115837,115177,115086
train,DR-NY-0007,Brooklyn Center for Independence of the Disabled v. Bloomberg,Disability Rights-Pub. Accom.,Yes,8,113004,111402,111430
train,EE-PA-0104,EEOC v. MAIN LINE HEALTH SYSTEM,Equal Employment,No,3,5563,5547,5555
train,PC-NC-0011,Bumgarner v. North Carolina Department of Corrections,Prison Conditions,Yes,6,29385,28425,28445
train,EE-CA-0190,Ramirez v. Cintas Corporation,Equal Employment,Yes,30,129749,128109,128198
train,IM-NY-0069,State of New York v. U.S. Department of Homeland Security,Immigration and/or the Border ,No,20,262514,258071,258149
train,EE-FL-0122,"EEOC v. Wal-Mart Stores, Inc.",Equal Employment,No,4,8564,8264,8276
train,EE-IL-0319,Drnek v City of Chicago  ,Equal Employment,Yes,10,70342,70180,70157
train,JC-KY-0012,"Black v. Franklin County, KY",Jail Conditions,Yes,11,45839,44699,44691
train,EE-MI-0152,EEOC v. Servicing Solutions,Equal Employment,No,3,1627,1627,1631
train,EE-IN-0042,"EEOC v. Figgaziga, Inc., d/b/a Brown County IGA",Equal Employment,Yes,4,5310,5260,5252
train,EE-IL-0018,EEOC v. ATMI PRECAST,Equal Employment,No,3,5024,5024,5036
train,PN-MI-0011,Ingram v. County of Wayne,Policing,Yes,3,24562,23860,23867
train,FH-NY-0001,"Powell v. American General Financial, Inc.",Fair Housing/Lending/Insurance,No,5,17189,17189,17184
train,EE-IL-0321,Walker v. Monsanto Co. Pension Plan,Equal Employment,Yes,17,93597,93127,92980
train,PC-CA-0071,Lopez v. Brown,Prison Conditions,Yes,6,23112,23052,23057
train,IM-MI-0005,Hamama v. Adducci,Immigration and/or the Border ,Yes,122,1314160,1306438,1306775
