case_type,count,mean,median,std
Child Welfare,20,0.011434997979983532,0.013672176308539941,0.09526393653604516
Intellectual Disability (Facility),20,0.01323562368719714,0.016227961852961853,0.06796441062669778
Public Benefits / Government Services,20,0.02006449207599918,0.009538281485955901,0.05947296731361548
Prison Conditions,20,0.036184294663725115,-0.003179824561403507,0.13284328588434752
Presidential/Gubernatorial Authority,20,-0.05459539774715437,-0.051019955654101994,0.06451638983919726
Policing,20,0.002763419211956933,0.01426346801346801,0.04990848586870378
National Security,20,0.004167533938353544,0.008818870523415977,0.05749931942102641
Mental Health (Facility),20,-0.000746679705955762,-0.006932432432432433,0.04764087773190115
Criminal Justice (Other),20,-0.02118994894998024,-0.02254208754208754,0.05485961179266493
Jail Conditions,20,-0.00455047907086319,-0.0034201041391901613,0.05146343103994694
Juvenile Institution,20,0.0012848390240212926,0.003952212645702703,0.05307369732647024
Immigration and/or the Border ,20,-0.004499577485776328,0.0032723482191567305,0.07195669936604696
Fair Housing/Lending/Insurance,20,0.08140049616365212,0.037148859543817525,0.09819245700387451
Equal Employment,20,0.03549565616675003,0.04956088992974239,0.04522595301223347
Election/Voting Rights,20,0.014120274292249421,0.009531555474095794,0.05561007574795665
Education,20,0.04174083731585626,0.02932167658730159,0.07121114454704902
Disability Rights-Pub. Accom.,20,-0.009753179574616681,-0.004107820664497683,0.06667406776376324
Speech and Religious Freedom,20,0.04889265708616128,0.04831952403645281,0.054389431969712645
Public Accomm./Contracting,10,0.02580088376765467,0.03563676381299333,0.08364519755830417
Public Housing,8,0.047288310741057604,0.03632812499999999,0.08089099775647678
School Desegregation,8,0.053172223822788925,0.08010107288094301,0.06656747742200858
Indigent Defense,7,0.01936110408820215,0.01685681216931214,0.08501926961599085
Nursing Home Conditions,4,0.015278298897500863,0.028102815569764274,0.05953756395202191
Environmental Justice,3,-0.04779220779220778,-0.006250000000000001,0.09854686766242356
